City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
la seyne-sur-mer,43.1,5.88,72.0,44,0,8.01,FR,1598816110
avera,33.19,-82.53,91.4,66,40,6.93,US,1598816110
bissau,11.86,-15.6,75.2,94,75,5.82,GW,1598816110
port lincoln,-34.73,135.87,51.91,61,100,5.91,AU,1598816111
nyurba,63.28,118.33,50.59,86,47,4.85,RU,1598816111
gisborne,-38.65,178.0,46.99,80,0,4.0,NZ,1598816111
auki,-8.77,160.7,78.69,85,78,4.29,SB,1598816111
wahiawa,21.5,-158.02,84.2,57,40,11.41,US,1598816112
rocha,-34.48,-54.33,49.86,61,94,9.82,UY,1598816112
karratha,-20.74,116.85,70.86,44,0,2.48,AU,1598816112
tura,25.52,90.22,75.63,91,100,3.76,IN,1598816112
ierapetra,35.01,25.74,82.0,51,0,10.0,GR,1598816113
pandavapura,12.5,76.67,70.52,88,100,8.3,IN,1598816113
port-gentil,-0.72,8.78,77.0,83,75,15.03,GA,1598816113
verkhnevilyuysk,63.45,120.32,48.74,94,5,3.98,RU,1598816114
caxito,-8.58,13.66,69.8,88,20,10.29,AO,1598816114
micheweni,-4.97,39.83,76.05,77,82,11.16,TZ,1598816114
chazuta,-6.57,-76.14,95.0,47,40,6.93,PE,1598816115
darhan,49.49,105.92,52.83,86,69,2.77,MN,1598815836
luebo,-5.35,21.42,75.78,75,60,2.95,CD,1598816115
cabo san lucas,22.89,-109.91,88.0,78,20,8.05,MX,1598816115
novyy urengoy,66.08,76.63,41.9,84,5,3.56,RU,1598816116
ahipara,-35.17,173.17,54.84,83,0,4.9,NZ,1598816116
panguna,-6.32,155.48,69.12,92,83,2.48,PG,1598816116
plattsburgh,44.7,-73.45,66.99,48,75,11.41,US,1598815833
jumla,29.27,82.18,61.99,70,81,0.92,NP,1598816116
lakes entrance,-37.88,147.98,48.0,81,49,1.99,AU,1598816117
saskylakh,71.92,114.08,46.42,84,84,4.68,RU,1598816117
koumac,-20.57,164.28,64.74,75,0,5.82,NC,1598816117
zachary,30.65,-91.16,93.0,59,75,9.17,US,1598816118
galle,6.04,80.22,80.67,83,100,12.12,LK,1598816118
petropavlovsk-kamchatskiy,53.05,158.65,39.2,100,20,8.95,RU,1598815854
fortuna,40.6,-124.16,68.0,59,1,10.29,US,1598816118
bud,39.45,-86.18,73.99,53,1,6.51,US,1598816119
zhigansk,66.77,123.37,49.03,95,100,10.38,RU,1598816119
taltal,-25.4,-70.48,59.72,64,100,5.28,CL,1598816119
berberati,4.26,15.79,70.12,90,99,1.92,CF,1598816119
ileza,61.05,43.9,50.56,98,100,3.65,RU,1598816120
aktau,43.65,51.2,68.0,77,7,6.71,KZ,1598816120
umm lajj,25.02,37.27,88.12,43,0,5.46,SA,1598816120
ligayan,4.65,119.47,84.29,70,40,6.73,PH,1598816121
bethel,41.37,-73.41,77.0,44,20,11.41,US,1598816121
sao filipe,14.9,-24.5,78.57,82,61,11.59,CV,1598816122
sao joao da barra,-21.64,-41.05,82.4,61,0,20.8,BR,1598816033
rehoboth,-23.32,17.08,42.3,56,0,6.49,NA,1598816123
klupci,44.53,19.25,77.0,83,52,2.24,RS,1598816123
kolondieba,11.09,-6.89,74.07,94,100,3.18,ML,1598816124
panaba,21.28,-88.27,99.0,37,55,10.07,MX,1598816124
vardo,70.37,31.11,48.2,87,75,19.46,NO,1598816124
abrantes,39.47,-8.2,71.01,49,0,10.58,PT,1598816124
bolu,40.67,31.58,70.81,44,0,2.89,TR,1598816111
koungou,-12.73,45.2,75.2,78,0,5.82,YT,1598816125
glasgow,55.87,-4.26,57.2,67,67,4.7,GB,1598815839
greenfield,42.96,-88.01,73.0,56,20,8.05,US,1598815920
quelimane,-17.88,36.89,77.0,78,0,6.93,MZ,1598816126
balabac,7.99,117.06,81.54,74,94,2.1,PH,1598816126
leningradskiy,69.38,178.42,35.44,91,100,6.62,RU,1598816126
sakata,38.92,139.85,75.56,86,82,8.39,JP,1598816127
walvis bay,-22.96,14.51,59.0,54,0,10.29,NA,1598816127
liuzhou,24.31,109.39,79.75,73,0,3.89,CN,1598815862
babylon,40.7,-73.33,82.0,39,1,14.99,US,1598816128
harper,4.38,-7.72,75.9,82,97,11.86,LR,1598816128
maymyo,22.03,96.47,67.82,100,100,1.14,MM,1598816128
urubicha,-15.38,-62.95,93.69,28,64,2.08,BO,1598816128
aksu,41.12,80.26,71.6,39,59,0.74,CN,1598816129
kichera,55.94,110.1,54.86,80,100,0.56,RU,1598816129
boyolangu,-8.12,111.89,70.95,88,60,5.06,ID,1598816129
hobyo,5.35,48.53,77.94,78,31,23.49,SO,1598816130
filadelfia,39.95,-75.16,82.0,39,75,13.87,US,1598816130
olafsvik,64.89,-23.71,52.83,92,100,25.99,IS,1598816130
outlook,51.5,-107.05,57.61,40,98,20.22,CA,1598816130
conselheiro pena,-19.17,-41.47,81.95,53,34,2.71,BR,1598816131
gandajika,-6.75,23.95,72.21,84,78,1.1,CD,1598816131
bara,10.37,10.73,75.67,83,58,3.13,NG,1598816131
waipawa,-41.41,175.52,55.4,76,0,25.28,NZ,1598816131
vargem grande,-3.54,-43.92,96.37,30,0,2.42,BR,1598816132
voskresenskoye,56.84,45.43,60.51,89,100,7.74,RU,1598816132
hirara,24.8,125.28,84.02,80,86,24.67,JP,1598816132
xining,36.62,101.77,47.35,82,24,2.1,CN,1598816133
saint-augustin,51.23,-58.65,59.85,57,10,16.84,CA,1598816133
mattru,7.62,-11.83,72.84,96,100,3.83,SL,1598816133
half moon bay,37.46,-122.43,72.0,77,40,9.17,US,1598816133
juneau,58.3,-134.42,52.0,92,100,4.0,US,1598816134
lata,40.16,-8.33,68.0,67,0,1.01,PT,1598816134
grand gaube,-20.01,57.66,71.01,77,1,5.99,MU,1598816134
dicabisagan,17.08,122.42,78.28,82,100,4.81,PH,1598816135
contramaestre,20.3,-76.24,95.0,41,40,3.36,CU,1598816135
gumdag,39.21,54.59,75.52,45,1,14.5,TM,1598816135
ucluelet,48.93,-125.55,59.0,82,40,8.05,CA,1598816074
launceston,-41.45,147.17,43.0,60,40,11.41,AU,1598815873
haysville,37.56,-97.35,82.99,58,40,5.82,US,1598816136
samarai,-10.62,150.67,78.4,88,97,18.32,PG,1598816136
mbeya,-8.9,33.45,59.97,48,0,6.51,TZ,1598816136
geilo,60.53,8.21,44.01,75,50,1.21,NO,1598816137
villarrobledo,39.27,-2.6,64.99,27,0,3.0,ES,1598816137
nanning,22.82,108.32,80.6,88,0,2.24,CN,1598816137
toppenish,46.38,-120.31,75.0,23,1,5.82,US,1598816137
magdalena,14.2,121.43,80.6,83,100,3.36,PH,1598816138
iqaluit,63.75,-68.51,48.2,76,20,5.82,CA,1598816138
srednekolymsk,67.45,153.68,40.39,83,2,6.13,RU,1598816138
havoysund,71.0,24.66,46.4,70,33,14.99,NO,1598816138
tambovka,50.1,128.05,53.6,100,75,13.42,RU,1598816139
lavrentiya,65.58,-171.0,47.75,73,74,18.19,RU,1598816139
bima,-8.47,118.72,70.84,86,34,4.27,ID,1598816139
roma,43.21,-75.46,71.6,46,75,14.99,US,1598816045
davila,18.47,120.58,78.8,94,75,6.93,PH,1598816140
akyab,20.15,92.9,81.41,86,100,6.11,MM,1598816140
atbasar,51.8,68.33,70.29,42,49,5.35,KZ,1598816140
hun,29.13,15.95,85.03,25,0,12.33,LY,1598816141
ponta do sol,32.67,-17.1,73.4,56,20,20.8,PT,1598816141
la ronge,55.1,-105.28,51.8,71,75,16.11,CA,1598816141
